date,symbol,marketcapname,sector
13-09-2022,KRBL,Midcap,FMCG
13-09-2022,LXCHEM,Midcap,Industrials
13-09-2022,BLS,Midcap,I.T
14-09-2022,VEDL,Largecap,Industrials
14-09-2022,AMBUJACEM,Largecap,Industrials
14-09-2022,INDIACEM,Midcap,Industrials
14-09-2022,INDUSINDBK,Largecap,Bank
14-09-2022,POWERGRID,Largecap,Miscellaneous
15-09-2022,APOLLOTYRE,Largecap,Auto
15-09-2022,POONAWALLA,Largecap,Finance
15-09-2022,ABCAPITAL,Largecap,Finance
15-09-2022,REDINGTON,Midcap,Services
15-09-2022,DELTACORP,Midcap,Media
16-09-2022,BDL,Midcap,FMCG
16-09-2022,MAZDOCK,Midcap,Industrials
16-09-2022,INDUSINDBK,Largecap,Bank
16-09-2022,DELTACORP,Midcap,Media
19-09-2022,AMBUJACEM,Largecap,Industrials
19-09-2022,INDIACEM,Midcap,Industrials
19-09-2022,TRIVENI,Midcap,FMCG
21-09-2022,AWL,Largecap,FMCG
22-09-2022,KPITTECH,Largecap,I.T
30-09-2022,GRANULES,Midcap,Pharmaceuticals
03-10-2022,COCHINSHIP,Midcap,Industrials
03-10-2022,ZYDUSLIFE,Largecap,Pharmaceuticals
04-10-2022,KALYANKJIL,Midcap,Miscellaneous
06-10-2022,MAZDOCK,Midcap,Industrials
06-10-2022,STLTECH,Midcap,Industrials
07-10-2022,MAZDOCK,Midcap,Industrials
14-10-2022,FEDERALBNK,Largecap,Bank
14-10-2022,RITES,Midcap,Realty
17-10-2022,BLS,Midcap,I.T
20-10-2022,CANBK,Largecap,Bank
21-10-2022,KPITTECH,Largecap,I.T
21-10-2022,AXISBANK,Largecap,Bank
21-10-2022,CANBK,Largecap,Bank
27-10-2022,TATAMTRDVR,Midcap,Auto
27-10-2022,KARURVYSYA,Midcap,Bank
27-10-2022,NMDC,Largecap,Industrials
27-10-2022,RBLBANK,Midcap,Bank
01-11-2022,ITI,Midcap,Telecom
01-11-2022,BHARTIARTL,Largecap,Telecom
01-11-2022,NTPC,Largecap,Miscellaneous
02-11-2022,TATAMTRDVR,Midcap,Auto
02-11-2022,MAZDOCK,Midcap,Industrials
03-11-2022,MAZDOCK,Midcap,Industrials
03-11-2022,REDINGTON,Midcap,Services
04-11-2022,AMARAJABAT,Midcap,Auto
04-11-2022,EXIDEIND,Midcap,Auto
04-11-2022,VEDL,Largecap,Industrials
07-11-2022,SBIN,Largecap,Bank
07-11-2022,ABCAPITAL,Largecap,Finance
07-11-2022,BANKBARODA,Largecap,Bank
07-11-2022,CUB,Midcap,Bank
09-11-2022,MANAPPURAM,Midcap,Finance
09-11-2022,ADANIPORTS,Largecap,Realty
09-11-2022,COALINDIA,Largecap,Industrials
09-11-2022,BLS,Midcap,I.T
11-11-2022,HDFC,Largecap,Finance
11-11-2022,HDFCBANK,Largecap,Bank
11-11-2022,JINDALSTEL,Largecap,Metals
11-11-2022,PFC,Largecap,Finance
14-11-2022,HINDALCO,Largecap,Metals
14-11-2022,MANAPPURAM,Midcap,Finance
14-11-2022,FORTIS,Largecap,Pharmaceuticals
17-11-2022,PFC,Largecap,Finance
18-11-2022,NMDC,Largecap,Industrials
21-11-2022,NMDC,Largecap,Industrials
22-11-2022,MAZDOCK,Midcap,Industrials
23-11-2022,RCF,Midcap,Industrials
23-11-2022,MAZDOCK,Midcap,Industrials
24-11-2022,RCF,Midcap,Industrials
24-11-2022,HDFCLIFE,Largecap,Services
24-11-2022,GSPL,Midcap,Industrials
24-11-2022,RECLTD,Largecap,Finance
25-11-2022,ABCAPITAL,Largecap,Finance
25-11-2022,HDFCLIFE,Largecap,Services
25-11-2022,GSPL,Midcap,Industrials
25-11-2022,PFC,Largecap,Finance
25-11-2022,RECLTD,Largecap,Finance
25-11-2022,IBULHSGFIN,Midcap,Finance
25-11-2022,RBLBANK,Midcap,Bank
28-11-2022,HINDPETRO,Largecap,Industrials
28-11-2022,RELIANCE,Largecap,Industrials
28-11-2022,BPCL,Largecap,Industrials
28-11-2022,APOLLOTYRE,Largecap,Auto
28-11-2022,DELTACORP,Midcap,Media
28-11-2022,RECLTD,Largecap,Finance
29-11-2022,DABUR,Largecap,FMCG
29-11-2022,ABCAPITAL,Largecap,Finance
29-11-2022,NIACL,Midcap,Services
30-11-2022,LEMONTREE,Midcap,Services
30-11-2022,JINDALSTEL,Largecap,Metals
30-11-2022,VBL,Largecap,FMCG
01-12-2022,TATASTEEL,Largecap,Metals
01-12-2022,JINDALSTEL,Largecap,Metals
01-12-2022,BSOFT,Midcap,I.T
02-12-2022,RAYMOND,Midcap,Textiles
05-12-2022,MANAPPURAM,Midcap,Finance
05-12-2022,M&MFIN,Largecap,Finance
06-12-2022,JSL,Largecap,Metals
07-12-2022,FACT,Largecap,Industrials
07-12-2022,RCF,Midcap,Industrials
08-12-2022,KARURVYSYA,Midcap,Bank
08-12-2022,BANKBARODA,Largecap,Bank
08-12-2022,BANKINDIA,Largecap,Bank
08-12-2022,AXISBANK,Largecap,Bank
09-12-2022,NIACL,Midcap,Services
12-12-2022,HINDPETRO,Largecap,Industrials
12-12-2022,REDINGTON,Midcap,Services
13-12-2022,FACT,Largecap,Industrials
13-12-2022,INDIANB,Largecap,Bank
14-12-2022,GICRE,Largecap,Services
14-12-2022,NIACL,Midcap,Services
14-12-2022,CUB,Midcap,Bank
14-12-2022,IBULHSGFIN,Midcap,Finance
14-12-2022,RBLBANK,Midcap,Bank
15-12-2022,FACT,Largecap,Industrials
15-12-2022,GSFC,Midcap,Industrials
15-12-2022,RCF,Midcap,Industrials
15-12-2022,GICRE,Largecap,Services
15-12-2022,RBLBANK,Midcap,Bank
16-12-2022,BALRAMCHIN,Midcap,FMCG
16-12-2022,FACT,Largecap,Industrials
16-12-2022,EPL,Midcap,Services
16-12-2022,STLTECH,Midcap,Industrials
16-12-2022,KALYANKJIL,Midcap,Miscellaneous
19-12-2022,GICRE,Largecap,Services
19-12-2022,NIACL,Midcap,Services
20-12-2022,JKPAPER,Midcap,Industrials
