date,symbol,marketcapname,sector
13-09-2022,VEDL,Largecap,Industrials
13-09-2022,HDFCLIFE,Largecap,Services
13-09-2022,BANDHANBNK,Largecap,Bank
14-09-2022,VEDL,Largecap,Industrials
14-09-2022,AMBUJACEM,Largecap,Industrials
14-09-2022,INDIACEM,Midcap,Industrials
14-09-2022,POWERGRID,Largecap,Miscellaneous
15-09-2022,APOLLOTYRE,Largecap,Auto
15-09-2022,ABCAPITAL,Largecap,Finance
15-09-2022,DELTACORP,Midcap,Media
16-09-2022,INDUSINDBK,Largecap,Bank
16-09-2022,DELTACORP,Midcap,Media
19-09-2022,AMBUJACEM,Largecap,Industrials
19-09-2022,INDIACEM,Midcap,Industrials
06-10-2022,ZEEL,Midcap,Media
14-10-2022,FEDERALBNK,Largecap,Bank
18-10-2022,CANBK,Largecap,Bank
20-10-2022,CANBK,Largecap,Bank
21-10-2022,AXISBANK,Largecap,Bank
21-10-2022,CANBK,Largecap,Bank
27-10-2022,NMDC,Largecap,Industrials
27-10-2022,PFC,Largecap,Finance
27-10-2022,RBLBANK,Midcap,Bank
01-11-2022,BHARTIARTL,Largecap,Telecom
01-11-2022,NTPC,Largecap,Miscellaneous
02-11-2022,VEDL,Largecap,Industrials
03-11-2022,M&MFIN,Largecap,Finance
04-11-2022,EXIDEIND,Midcap,Auto
04-11-2022,VEDL,Largecap,Industrials
07-11-2022,SBIN,Largecap,Bank
07-11-2022,ABCAPITAL,Largecap,Finance
07-11-2022,BANKBARODA,Largecap,Bank
07-11-2022,CUB,Midcap,Bank
09-11-2022,MANAPPURAM,Midcap,Finance
09-11-2022,ADANIPORTS,Largecap,Realty
09-11-2022,COALINDIA,Largecap,Industrials
10-11-2022,LUPIN,Largecap,Pharmaceuticals
11-11-2022,HDFCBANK,Largecap,Bank
11-11-2022,PFC,Largecap,Finance
14-11-2022,HINDALCO,Largecap,Metals
14-11-2022,MANAPPURAM,Midcap,Finance
15-11-2022,APOLLOTYRE,Largecap,Auto
15-11-2022,DELTACORP,Midcap,Media
17-11-2022,PFC,Largecap,Finance
18-11-2022,NMDC,Largecap,Industrials
21-11-2022,NMDC,Largecap,Industrials
24-11-2022,HDFCLIFE,Largecap,Services
24-11-2022,RECLTD,Largecap,Finance
25-11-2022,ABCAPITAL,Largecap,Finance
25-11-2022,IEX,Midcap,Miscellaneous
25-11-2022,PFC,Largecap,Finance
25-11-2022,RECLTD,Largecap,Finance
25-11-2022,IBULHSGFIN,Midcap,Finance
25-11-2022,RBLBANK,Midcap,Bank
28-11-2022,HINDPETRO,Largecap,Industrials
28-11-2022,RELIANCE,Largecap,Industrials
28-11-2022,BPCL,Largecap,Industrials
28-11-2022,APOLLOTYRE,Largecap,Auto
28-11-2022,DELTACORP,Midcap,Media
28-11-2022,RECLTD,Largecap,Finance
29-11-2022,DABUR,Largecap,FMCG
29-11-2022,ABCAPITAL,Largecap,Finance
30-11-2022,HINDALCO,Largecap,Metals
01-12-2022,TATASTEEL,Largecap,Metals
01-12-2022,BSOFT,Midcap,I.T
05-12-2022,MANAPPURAM,Midcap,Finance
05-12-2022,M&MFIN,Largecap,Finance
08-12-2022,BANKBARODA,Largecap,Bank
08-12-2022,AXISBANK,Largecap,Bank
12-12-2022,HINDPETRO,Largecap,Industrials
14-12-2022,IBULHSGFIN,Midcap,Finance
14-12-2022,RBLBANK,Midcap,Bank
15-12-2022,RBLBANK,Midcap,Bank
27-12-2022,JINDALSTEL,Largecap,Metals
